# Episodio, Score
1059, -3.98
1060, -7.85
1061, 240.91
1062, 244.23
1063, 237.85
1064, 212.21
1065, 215.45
1066, 275.52
1067, 255.38
1068, 238.01
1069, 128.45
1070, 33.08
1071, -58.11
1072, 248.86
1073, 248.32
1074, 65.16
1075, 255.67
1076, 15.93
1077, 237.78
1078, 189.79
1079, 15.62
1080, 244.44
1081, 20.17
1082, 14.62
1083, 251.52
1084, 242.65
1085, 50.47
1086, 44.71
1087, 33.97
1088, -5.61
1089, 253.94
1090, 192.83
1091, 197.52
1092, -32.79
1093, 47.33
1094, -5.81
1095, -9.57
1096, 11.87
1097, 282.76
1098, 237.88
1099, -18.21
1100, 243.68
1101, 172.35
1102, 47.23
1103, 280.42
1104, 14.63
1105, 273.19
1106, 240.45
1107, 248.78
1108, 253.17
1109, -6.62
1110, 274.42
1111, 242.01
1112, 227.19
1113, -4.35
1114, 43.81
1115, 275.67
1116, 220.99
1117, -21.93
1118, -131.38
1119, 4.50
1120, 6.22
1121, -21.30
1122, 260.20
1123, -13.64
1124, 63.28
1125, 219.39
1126, 19.22
1127, 13.58
1128, 258.61
1129, 202.91
1130, -22.32
1131, 207.88
1132, 25.24
1133, -18.81
1134, -18.96
1135, 20.01
1136, -242.41
1137, -18.00
1138, 248.79
1139, 31.63
1140, 178.21
1141, 267.27
1142, 9.09
1143, 246.53
1144, 225.28
1145, 261.78
1146, 274.92
1147, 271.98
1148, 286.79
1149, 274.91
1150, 260.11
1151, 238.63
1152, 290.34
1153, 250.90
1154, -4.23
1155, 24.59
1156, 267.39
1157, -36.25
1158, 221.21
1159, 262.06
1160, 40.90
1161, 259.42
1162, 254.13
1163, 280.80
1164, 266.35
1165, 186.93
1166, 246.47
1167, 207.95
1168, 32.58
1169, 274.75
1170, 27.71
1171, -28.52
1172, 261.19
1173, 15.75
1174, 11.72
1175, -14.87
1176, 282.10
1177, 234.10
1178, 202.17
1179, 248.87
1180, 261.15
1181, 237.31
1182, 11.26
1183, 238.91
1184, 270.89
1185, 270.00
1186, 163.40
1187, 19.12
1188, 67.33
1189, 14.89
1190, 273.83
1191, 207.45
1192, 248.97
1193, 266.76
1194, 272.39
1195, 33.34
1196, 266.49
1197, 267.60
1198, 261.02
1199, -3.12
1200, 32.69
1201, -207.27
1202, -14.64
1203, 253.57
1204, 20.53
1205, 244.28
1206, 242.12
1207, 258.44
1208, 14.71
1209, 264.54
1210, 268.42
1211, 274.75
1212, 238.33
1213, 259.86
1214, 250.57
1215, 299.13
1216, 264.74
1217, 238.28
1218, 46.58
1219, 285.41
1220, 270.56
1221, 263.40
1222, 231.65
1223, 50.90
1224, 260.63
1225, 263.10
1226, 270.62
1227, 256.44
1228, 264.04
1229, 262.09
1230, 57.95
1231, 283.15
1232, 277.68
1233, 234.43
1234, 249.49
1235, 276.94
1236, 259.76
1237, 269.97
1238, 225.22
1239, -289.60
1240, 264.14
1241, 280.82
1242, 273.57
1243, 24.65
1244, 289.14
1245, 296.36
1246, 278.76
1247, 255.59
1248, 274.55
1249, 240.74
1250, 246.16
1251, 276.92
1252, 278.11
1253, 256.58
1254, 287.70
1255, 242.79
1256, 236.33
1257, 251.90
1258, 270.91
1259, 288.24
1260, 257.92
1261, 255.49
1262, 165.20
1263, 272.84
1264, 266.23
1265, 108.75
1266, 242.67
1267, -5.37
1268, 242.72
1269, 241.15
1270, 242.66
1271, 39.18
1272, 185.72
1273, 285.68
1274, 242.46
1275, 231.30
1276, 286.84
1277, 41.16
1278, 238.07
1279, 203.66
1280, 37.56
1281, 277.73
1282, 251.19
1283, 249.56
1284, 274.80
1285, 268.76
1286, 258.44
1287, 254.65
1288, 252.55
1289, 291.63
1290, 241.49
1291, 270.46
1292, 274.27
1293, -4.52
1294, 284.82
1295, 290.14
1296, 269.58
1297, 162.34
1298, 240.43
1299, 249.20
1300, 255.67
1301, 275.59
1302, 257.79
1303, 275.87
1304, 255.06
1305, 169.04
1306, 279.81
1307, 191.31
1308, 207.66
1309, 279.36
1310, 258.52
1311, 280.04
1312, 44.55
1313, 72.82
1314, 262.54
1315, 255.20
1316, 262.96
1317, 286.48
1318, 285.30
1319, 277.42
1320, 267.64
1321, 275.23
1322, 19.50
1323, 253.16
1324, 256.27
1325, 273.54
1326, 255.88
1327, 261.93
1328, 264.89
1329, 263.71
1330, 251.62
1331, 23.50
1332, 276.73
1333, 272.38
1334, 298.35
1335, 251.18
1336, 45.39
1337, 285.19
1338, 254.36
1339, 251.04
1340, 295.95
1341, -160.11
1342, 275.24
1343, 277.39
1344, 290.49
1345, 261.89
1346, 260.07
1347, 279.93
1348, 268.81
1349, 289.81
