# Episodio, Score_Promedio_50ep
1132, 181.37
1133, 176.15
1134, 171.78
1135, 171.32
1136, 175.11
1137, 176.05
1138, 172.02
1139, 172.38
1140, 172.05
1141, 170.76
1142, 165.16
1143, 165.33
1144, 164.90
1145, 165.52
1146, 170.47
1147, 168.14
1148, 163.76
1149, 159.55
1150, 164.22
1151, 161.78
1152, 160.44
1153, 155.71
1154, 155.21
1155, 155.39
1156, 154.72
1157, 149.42
1158, 145.34
1159, 147.14
1160, 146.85
1161, 151.23
1162, 146.93
1163, 150.77
1164, 151.15
1165, 145.78
1166, 146.97
1167, 146.72
1168, 146.65
1169, 151.24
1170, 156.07
1171, 162.38
1172, 162.31
1173, 163.12
1174, 163.05
1175, 168.23
1176, 168.50
1177, 164.12
1178, 159.83
1179, 161.51
1180, 156.62
1181, 164.22
1182, 159.20
1183, 160.28
1184, 164.60
1185, 165.28
1186, 165.45
1187, 166.41
1188, 171.27
1189, 166.83
1190, 167.43
1191, 168.07
1192, 173.97
1193, 168.95
1194, 174.10
1195, 169.28
1196, 169.17
1197, 172.86
1198, 177.17
1199, 176.37
1200, 172.06
1201, 173.99
1202, 173.91
1203, 178.74
1204, 178.98
1205, 179.16
1206, 179.53
1207, 183.89
1208, 188.73
1209, 190.95
1210, 191.95
1211, 192.71
1212, 198.49
1213, 198.16
1214, 197.93
1215, 202.44
1216, 202.97
1217, 203.34
1218, 203.58
1219, 198.97
1220, 199.35
1221, 196.30
1222, 197.14
1223, 197.27
1224, 193.01
1225, 192.50
1226, 191.81
1227, 196.67
1228, 200.67
1229, 198.92
1230, 203.92
1231, 204.37
1232, 209.29
1233, 213.03
1234, 208.38
1235, 207.45
1236, 204.79
1237, 207.72
1238, 202.87
1239, 206.26
1240, 206.37
1241, 207.20
1242, 206.30
1243, 211.30
1244, 208.71
1245, 213.43
1246, 213.05
1247, 213.11
1248, 213.57
1249, 218.44
1250, 222.87
1251, 217.19
1252, 216.94
1253, 217.03
1254, 218.20
1255, 218.59
1256, 218.41
1257, 218.51
1258, 213.73
1259, 216.00
1260, 215.18
1261, 210.09
1262, 210.24
1263, 211.23
1264, 210.31
1265, 210.04
1266, 205.01
1267, 205.03
1268, 200.42
1269, 205.55
1270, 200.89
1271, 203.12
1272, 197.81
1273, 191.60
1274, 196.84
1275, 196.98
1276, 196.71
1277, 196.94
1278, 196.53
1279, 197.90
1280, 197.52
1281, 197.33
1282, 195.36
1283, 191.65
1284, 191.42
1285, 192.02
1286, 194.94
1287, 196.45
1288, 201.22
1289, 202.15
1290, 198.41
1291, 198.05
1292, 198.86
1293, 192.91
1294, 194.48
1295, 195.20
1296, 195.30
1297, 193.76
1298, 193.96
1299, 189.03
1300, 189.54
1301, 195.12
1302, 200.16
1303, 200.00
1304, 193.70
1305, 193.36
1306, 192.00
1307, 185.04
1308, 188.42
1309, 188.92
1310, 184.75
1311, 189.48
1312, 189.46
1313, 188.85
1314, 189.94
1315, 189.65
1316, 194.77
1317, 194.66
1318, 194.04
1319, 192.89
1320, 192.80
1321, 192.22
1322, 192.45
1323, 198.44
1324, 197.81
1325, 193.22
1326, 192.65
1327, 187.58
1328, 183.36
1329, 181.19
1330, 181.68
1331, 181.83
1332, 183.69
1333, 187.84
1334, 188.53
1335, 188.07
1336, 186.23
1337, 181.85
1338, 181.67
1339, 176.32
1340, 179.54
1341, 179.56
1342, 178.80
1343, 185.57
1344, 185.37
1345, 184.77
1346, 185.02
1347, 186.91
1348, 182.01
1349, 187.65
1350, 186.88
1351, 186.14
1352, 183.96
1353, 184.45
1354, 189.74
1355, 189.60
1356, 190.29
1357, 197.56
1358, 198.63
1359, 197.96
1360, 202.15
1361, 201.67
1362, 201.41
1363, 197.51
1364, 197.59
1365, 198.80
1366, 198.80
1367, 192.94
1368, 193.47
1369, 194.45
1370, 198.74
1371, 199.85
1372, 203.22
1373, 203.44
1374, 203.64
1375, 208.44
1376, 210.00
1377, 214.67
1378, 220.24
1379, 222.82
1380, 218.25
1381, 218.30
1382, 218.66
1383, 218.56
1384, 222.23
1385, 222.52
1386, 224.10
1387, 228.84
1388, 228.92
1389, 234.68
1390, 235.54
1391, 230.93
1392, 231.96
1393, 231.46
1394, 227.72
1395, 227.40
1396, 226.47
1397, 222.62
1398, 226.64
1399, 225.58
1400, 225.70
1401, 226.36
1402, 224.67
1403, 224.54
1404, 224.64
1405, 224.63
1406, 224.73
1407, 224.73
1408, 220.51
1409, 219.26
1410, 219.03
1411, 219.28
1412, 219.52
1413, 223.39
1414, 218.77
1415, 218.53
1416, 214.05
1417, 219.71
1418, 220.23
1419, 221.04
1420, 217.00
1421, 212.50
1422, 212.47
1423, 207.78
1424, 202.45
1425, 201.73
1426, 201.33
1427, 202.02
1428, 200.68
1429, 195.79
1430, 194.88
1431, 195.48
1432, 195.27
1433, 195.01
1434, 195.88
1435, 196.29
1436, 196.11
1437, 190.29
1438, 190.07
1439, 189.30
1440, 188.77
1441, 193.59
1442, 188.74
1443, 189.02
1444, 193.42
1445, 193.65
1446, 195.28
1447, 198.61
1448, 199.20
1449, 199.48
1450, 199.10
1451, 198.85
