# Episodio, Loss
929, 20.5600
930, 19.9894
931, 29.2410
932, 16.4312
933, 30.1037
934, 23.1923
935, 12.5524
936, 23.8616
937, 33.0047
938, 34.1519
939, 25.3666
940, 37.4163
941, 31.4347
942, 33.4251
943, 28.6248
944, 21.2241
945, 32.2552
946, 22.9172
947, 20.4140
948, 33.7410
949, 27.2697
950, 32.6255
951, 21.3277
952, 22.7010
953, 20.8898
954, 34.3112
955, 31.1844
956, 24.1373
957, 28.5470
958, 48.2902
959, 27.1303
960, 28.8866
961, 23.2334
962, 29.0330
963, 25.5164
964, 36.0373
965, 21.8016
966, 12.0920
967, 12.4797
968, 29.4310
969, 12.4544
970, 16.9608
971, 23.0461
972, 32.8006
973, 10.2471
974, 17.6079
975, 27.0922
976, 12.3144
977, 30.6131
978, 25.6595
979, 18.9706
980, 35.1570
981, 25.3251
982, 31.5477
983, 30.6168
984, 27.3283
985, 24.1535
986, 20.1550
987, 28.0186
988, 17.9848
989, 41.3513
990, 33.7861
991, 33.9436
992, 36.3128
993, 22.9400
994, 32.8444
995, 32.2151
996, 31.5943
997, 35.2551
998, 25.3088
999, 22.1582
1000, 39.3312
1001, 30.8597
1002, 24.0313
1003, 29.0252
1004, 25.6075
1005, 26.3614
1006, 30.9792
1007, 23.3883
1008, 48.1510
1009, 26.3500
1010, 22.8062
1011, 37.7817
1012, 44.5258
1013, 21.0870
1014, 22.3017
1015, 26.7872
1016, 36.4051
1017, 25.5477
1018, 32.0743
1019, 26.9590
1020, 26.1063
1021, 31.2254
1022, 29.0495
1023, 21.0817
1024, 21.0531
1025, 22.6970
1026, 31.8660
1027, 17.1861
1028, 18.8114
1029, 34.2127
1030, 32.9755
1031, 34.0678
1032, 32.3746
1033, 28.8648
1034, 25.5931
1035, 30.2420
1036, 25.6204
1037, 27.5432
1038, 22.7822
1039, 24.9841
1040, 26.8985
1041, 21.6877
1042, 17.4444
1043, 23.2543
1044, 32.1382
1045, 22.1142
1046, 21.1269
1047, 26.1052
1048, 21.6086
1049, 21.9473
1050, 22.6004
1051, 32.0075
1052, 32.4595
1053, 14.1830
1054, 37.5022
1055, 21.2180
1056, 26.2384
1057, 26.3958
1058, 32.6853
1059, 37.8964
1060, 25.9836
1061, 10.7254
1062, 24.1813
1063, 28.3416
1064, 24.4244
1065, 24.9821
1066, 27.3645
1067, 13.4836
1068, 24.9539
1069, 30.5078
1070, 18.3791
1071, 30.7687
1072, 14.9671
1073, 16.3892
1074, 22.3625
1075, 23.7365
1076, 15.6373
1077, 17.7907
1078, 28.5363
1079, 30.7285
1080, 44.1835
1081, 25.5519
1082, 19.8683
1083, 45.6652
1084, 28.7205
1085, 25.4096
1086, 30.8789
1087, 26.1733
1088, 40.7622
1089, 30.4947
1090, 27.2138
1091, 26.8967
1092, 27.8574
1093, 23.8842
1094, 36.2680
1095, 35.7417
1096, 30.5592
1097, 34.5522
1098, 21.4374
1099, 32.5739
1100, 30.6714
1101, 26.1347
1102, 21.8445
1103, 23.2548
1104, 22.3676
1105, 24.8391
1106, 25.9548
1107, 18.1309
1108, 22.1738
1109, 37.7300
1110, 33.7349
1111, 28.5292
1112, 36.7985
1113, 19.3677
1114, 14.7481
1115, 29.3624
1116, 45.3797
1117, 40.0498
1118, 23.9920
1119, 18.8858
1120, 27.9706
1121, 34.9385
1122, 34.4017
1123, 42.8633
1124, 25.9800
1125, 22.9675
1126, 46.6928
1127, 23.9853
1128, 25.9506
1129, 35.0196
1130, 32.9227
1131, 40.3346
1132, 33.5360
1133, 25.6708
1134, 39.2565
1135, 30.1127
1136, 22.6945
1137, 42.0263
1138, 35.4089
1139, 25.0947
1140, 25.0307
1141, 30.4662
1142, 38.4675
1143, 45.7752
1144, 44.3607
1145, 42.8445
1146, 58.7612
1147, 31.2041
1148, 31.1346
1149, 36.3470
1150, 36.2943
1151, 31.7510
1152, 33.8367
1153, 41.1761
1154, 43.7581
1155, 22.6114
1156, 49.6160
1157, 36.8758
1158, 42.9204
1159, 33.5407
1160, 35.2994
1161, 42.2665
1162, 26.5161
1163, 44.8628
1164, 36.0511
1165, 43.8848
1166, 48.3078
1167, 40.6023
1168, 43.1893
1169, 54.4712
1170, 56.5578
1171, 52.5209
1172, 40.0369
1173, 89.2079
1174, 65.6102
1175, 58.5666
1176, 38.7540
1177, 63.4360
1178, 79.1439
1179, 48.0777
1180, 36.5870
1181, 30.3763
1182, 37.0643
1183, 29.5599
1184, 44.7287
1185, 61.7679
1186, 39.8551
1187, 39.1670
1188, 30.6217
1189, 34.3427
1190, 25.1894
1191, 44.2946
1192, 31.3863
1193, 48.9005
1194, 30.8181
1195, 41.5407
1196, 21.4861
1197, 39.6462
1198, 46.7944
1199, 38.9912
1200, 56.6115
1201, 32.0683
1202, 49.3053
1203, 67.2073
1204, 42.2717
1205, 60.4402
1206, 39.5997
1207, 36.1353
1208, 48.5611
1209, 33.4646
1210, 38.2867
1211, 53.8708
1212, 61.0328
1213, 37.3401
1214, 49.4245
1215, 21.4980
1216, 43.1734
1217, 31.2848
1218, 46.5272
1219, 29.6308
1220, 43.5935
1221, 41.3361
1222, 40.9308
1223, 42.9361
1224, 40.6214
1225, 43.8561
1226, 34.0617
1227, 40.8845
1228, 41.3643
1229, 28.5744
1230, 36.5633
1231, 27.9591
1232, 27.5427
1233, 32.3594
1234, 28.6544
1235, 34.7457
1236, 24.3861
1237, 31.2276
1238, 42.2473
1239, 48.4149
1240, 32.2937
1241, 46.0734
1242, 39.8433
1243, 39.0671
1244, 30.2520
1245, 38.5150
1246, 36.2683
1247, 35.6589
1248, 41.6958
